library.ID	Condition	Biorep	IP	TechRep	hg38_reads	dm6_reads	sac3_reads	dm6/hg38	sac3/hg38	QC_flag	dm6_input	sac3_input	dm6 IP/input	sac3 IP/input	dm6_control_avg	sac3_control_avg	dm6 IP/input control averaged	sac3 IP/input control averaged	fly_ip_efficiency_norm	yeast_ip_efficiency_norm	dm6.normfactor.ipeff.adj	sac3.normfactor.ipeff.adj	dual.normfactor.ipeff.adj
HelaS3_0sync_100inter_1_H3K9ac_1	HelaS3_0sync_100inter	1	H3K9ac	1	15367790	289943	1370455	0.0188669288167003	0.0891771035392857		0.0096292478055145	0.0074619267325005	1.959335682055616	11.950948694105096	8.760468464663491	54.5847088861276	0.2236564962203625	0.2189431607858654	0.8510650686121894	0.9689661870799583	0.1903462313013447	0.21214851969391424	0.20124737549762947
HelaS3_0sync_100inter_1_H3K9ac_2	HelaS3_0sync_100inter	1	H3K9ac	2	13084673	315365	1538603	0.0241018633022009	0.1175881888679984		0.0096292478055145	0.0074619267325005	2.5029850502339497	15.75842179685852	8.760468464663491	54.5847088861276	0.2857136077060343	0.2886966353476959	1.0049607825549223	0.9703217028283245	0.2871309707868463	0.2801286108113842	0.2836297907991152
HelaS3_0sync_100inter_1_H3K9ac_3	HelaS3_0sync_100inter	1	H3K9ac	3	12679536	299633	1574948	0.02363122751495	0.1242118008103766		0.0096292478055145	0.0074619267325005	2.454109395898688	16.646076176193137	8.760468464663491	54.5847088861276	0.2801344934688896	0.3049585958389831	0.9605809866180298	0.9629940055877743	0.26909186812208796	0.2936732997454055	0.2813825839337467
HelaS3_0sync_100inter_1_input_1	HelaS3_0sync_100inter	1	input	1	12866114	123891	96006	0.0096292478055145	0.0074619267325005		0.0096292478055145	0.0074619267325005	1.0	1.0									
HelaS3_100sync_0inter_1_H3K9ac_1	HelaS3_100sync_0inter	1	H3K9ac	1	8446795	787637	3384998	0.0932468468809767	0.400743477259718		0.0112990468344926	0.0079242786622864	8.252629469268307	50.57160333936142	8.760468464663491	54.5847088861276	0.9420306120108052	0.9264793084243031	0.9851839672468101	0.9966163405139794	0.9280734556087455	0.9233444179237514	0.9257089367662485
HelaS3_100sync_0inter_1_H3K9ac_2	HelaS3_100sync_0inter	1	H3K9ac	2	8000672	719513	3165051	0.0899315707480571	0.3955981447558405		0.0112990468344926	0.0079242786622864	7.959217451291796	49.9222909258082	8.760468464663491	54.5847088861276	0.9085378805250371	0.9145838082594532	0.9851373683362075	1.0020716260884635	0.8950346166541908	0.9164784839367297	0.9057565502954603
HelaS3_100sync_0inter_1_H3K9ac_3	HelaS3_100sync_0inter	1	H3K9ac	3	7144407	812865	3581432	0.1137764127939519	0.501291709724824		0.0112990468344926	0.0079242786622864	10.06955847343037	63.26023239321317	8.760468464663491	54.5847088861276	1.1494315074641577	1.1589368833162432	1.0296786644169824	1.0013120333975571	1.1835450994444927	1.1604574472128149	1.1720012733286538
HelaS3_100sync_0inter_1_input_1	HelaS3_100sync_0inter	1	input	1	10798964	122018	85574	0.0112990468344926	0.0079242786622864		0.0112990468344926	0.0079242786622864	1.0	1.0									
