Sample	Sample_MeanGC	Sample_MedianGC	Genome_MeanGC	Genome_MedianGC	Genome
HelaS3_100sync_0inter_1_H3K9ac_2	0.43743653891624357	0.4362082465902522	0.41697982948013446	0.41385713311003597	dm6
HelaS3_100sync_0inter_1_H3K9ac_1	0.4351962519346417	0.43342714443471514	0.41697982948013446	0.41385713311003597	dm6
HelaS3_0sync_100inter_1_H3K9ac_1	0.43201145363999993	0.430242251843727	0.41697982948013446	0.41385713311003597	dm6
HelaS3_0sync_100inter_1_H3K9ac_2	0.43541806184726867	0.4334295313194136	0.41697982948013446	0.41385713311003597	dm6
HelaS3_100sync_0inter_1_H3K9ac_3	0.4371862795646403	0.435834408161598	0.41697982948013446	0.41385713311003597	dm6
HelaS3_0sync_100inter_1_input_1	0.4186482658239537	0.4158921074990078	0.41697982948013446	0.41385713311003597	dm6
HelaS3_100sync_0inter_1_input_1	0.41959211018122816	0.4172864971710298	0.41697982948013446	0.41385713311003597	dm6
HelaS3_0sync_100inter_1_H3K9ac_3	0.43379271423219434	0.43194726571900915	0.41697982948013446	0.41385713311003597	dm6
