Sample	Sample_MeanGC	Sample_MedianGC	Genome_MeanGC	Genome_MedianGC	Genome
HelaS3_0sync_100inter_1_H3K9ac_3	0.4530713692404758	0.43199025197295415	0.40473730555683596	0.3906770864093714	hg38
HelaS3_100sync_0inter_1_H3K9ac_1	0.4396098900281319	0.4184782593215436	0.40473730555683596	0.3906770864093714	hg38
HelaS3_100sync_0inter_1_H3K9ac_2	0.44169113440460755	0.42056158873046556	0.40473730555683596	0.3906770864093714	hg38
HelaS3_0sync_100inter_1_H3K9ac_1	0.43582427045801947	0.41375796323201447	0.40473730555683596	0.3906770864093714	hg38
HelaS3_0sync_100inter_1_input_1	0.3905328321102189	0.37559301102647863	0.40473730555683596	0.3906770864093714	hg38
HelaS3_100sync_0inter_1_H3K9ac_3	0.45581303311165255	0.43556224533972326	0.40473730555683596	0.3906770864093714	hg38
HelaS3_0sync_100inter_1_H3K9ac_2	0.45809750526520027	0.4375991826873563	0.40473730555683596	0.3906770864093714	hg38
HelaS3_100sync_0inter_1_input_1	0.39328904974192697	0.3788527508382522	0.40473730555683596	0.3906770864093714	hg38
